label,avg_calories_kcal,portion_notes
oat oil,124.0,1 tbsp (14 ml)
okra,4.0,1 pod (12 g)
olive oil,120.0,1 tbsp (15 ml)
olives,2.0,1 olive (2.7 g)
onion,34.0,1 onion (85 g)
onion rings,25.0,1 ring (6.5 g)
onion soup,56.0,1 cup (243 g)
orange,62.0,1 orange (131 g)
orange chicken,420.0,1 serving (162 g)
orecchiette,207.0,2 oz. (56 g)
orzo,200.0,2 oz. (56 g)
oxtail soup,68.0,1 cup (244 g)
pad thai,375.0,1 cup (250 g)
paella,200.0,1/2 package (128 g)
palm kernel oil,123.0,1 tbsp (14 ml)
palm oil,123.0,1 tbsp (14 ml)
pani_puri,180.0,6 pieces
papaya,215.0,1 fruit (500 g)
paratha,300.0,1 piece (stuffed avg)
parsnips,128.0,1 parsnip (170 g)
passion fruit,17.0,1 passoin fruit (18 g)
pea soup,190.0,1 cup (253 g)
peach,59.0,1 peach (150 g)
peanut butter sandwich,200.0,1 sandwich (49 g)
peanut oil,120.0,1 tbsp (14 ml)
pear,101.0,1 pear (178 g)
pearl barley,553.0,1 cup (157 g)
peas,79.0,1 cup (98 g)
peking duck,401.0,1/2 duck (178 g)
penne,197.0,2 oz. (56 g)
penne rigate,207.0,2 oz. (56 g)
pepper,20.0,1 pepper (75 g)
pepperoni pizza,181.0,1 slice (71 g)
persimmon,32.0,1 fruit (25 g)
philly cheese steak,300.0,1 sandwich (120 g)
physalis,2.0,1 berry (5 g)
pierogi,200.0,3 pierogi (100 g)
pineapple,453.0,1 pineapple (905 g)
pink grapefruit,52.0,1/2 grapefruit (123 g)
pizza,285.0,"1 slice, regular crust"
pizza dough,130.0,2 oz. (57 g)
pizza hut stuffed crust pizza,380.0,1 slice (149 g)
pizza hut supreme pizza,305.0,1 slice (123 g)
pizza rolls,35.0,1 roll (14 g)
plantain,218.0,1 plantain (179 g)
plantains,218.0,1 plantain (179 g)
plum,30.0,1 plum (66 g)
poha,250.0,1 bowl
polenta,549.0,1 cup (150 g)
pomegranate,234.0,1 pomegranate (282 g)
pomelo,231.0,1 pomelo (609 g)
poppy seed oil,124.0,1 tbsp (14 ml)
pork chop,295.0,1 chop (131 g)
potato,164.0,1 potato (213 g)
potato salad,136.0,1/3 cup (95 g)
potato soup,192.0,1 serving (240 g)
poutine,511.0,1 serving (225 g)
prawn crackers,16.0,1 cracker (3 g)
pretzel sticks,46.0,20 sticks (12 g)
prickly pear,8.0,"1 pad, peeled (19 g)"
pulled pork sandwich,551.0,1 sandwich (261 g)
pumpkin,51.0,1 pumpkin (196 g)
pumpkin seed oil,123.0,1 tbsp (14 ml)
